"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13119","All key widgets and UI elements are visible on dashboard","src.tests","Mon Jul 28 11:29:23 IST 2025","passed","Mon Jul 28 11:29:36 IST 2025","TestDashBoard","test_02_dashboard","",""
"","16124","test_toggle_buttons_expand_and_collapse[airline]","src.tests","Mon Jul 28 11:37:48 IST 2025","passed","Mon Jul 28 11:38:04 IST 2025","TestCredentials","test_03_credentials","",""
"","595","Login with invalid credentials","src.tests","Mon Jul 28 11:28:35 IST 2025","passed","Mon Jul 28 11:28:36 IST 2025","TestLogin","test_01_login","",""
"","11382","verifying the label name the cards","src.tests","Mon Jul 28 11:35:39 IST 2025","passed","Mon Jul 28 11:35:51 IST 2025","TestCredentials","test_03_credentials","",""
"","18761","test_table_header_drag_and_drop[email]","src.tests","Mon Jul 28 11:40:38 IST 2025","skipped","Mon Jul 28 11:40:57 IST 2025","TestCredentials","test_03_credentials","",""
"","18262","test_column_toggle_checkbox_reflects_in_table_headings[gst]","src.tests","Mon Jul 28 11:38:35 IST 2025","passed","Mon Jul 28 11:38:53 IST 2025","TestCredentials","test_03_credentials","",""
"","9624","All Modules are visible on dashboard","src.tests","Mon Jul 28 11:29:42 IST 2025","passed","Mon Jul 28 11:29:51 IST 2025","TestDashBoard","test_02_dashboard","",""
"","1684","Redirect to login if not authenticated","src.tests","Mon Jul 28 11:29:16 IST 2025","passed","Mon Jul 28 11:29:18 IST 2025","TestDashBoard","test_02_dashboard","",""
"","42582","Scroll down dashboard page till the end","src.tests","Mon Jul 28 11:33:45 IST 2025","passed","Mon Jul 28 11:34:28 IST 2025","TestDashBoard","test_02_dashboard","",""
"","38730","verifying the email table heading label name","src.tests","Mon Jul 28 11:36:44 IST 2025","skipped","Mon Jul 28 11:37:23 IST 2025","TestCredentials","test_03_credentials","",""
"","17066","test_column_toggle_checkbox_reflects_in_table_headings[airline]","src.tests","Mon Jul 28 11:38:58 IST 2025","passed","Mon Jul 28 11:39:15 IST 2025","TestCredentials","test_03_credentials","",""
"","491","Login with empty username","src.tests","Mon Jul 28 11:28:30 IST 2025","passed","Mon Jul 28 11:28:31 IST 2025","TestLogin","test_01_login","",""
"","40440","verifying take action button functionality","src.tests","Mon Jul 28 11:34:33 IST 2025","passed","Mon Jul 28 11:35:13 IST 2025","TestCredentials","test_03_credentials","",""
"","13159","test_table_header_drag_and_drop[airline]","src.tests","Mon Jul 28 11:40:20 IST 2025","failed","Mon Jul 28 11:40:33 IST 2025","TestCredentials","test_03_credentials","",""
"","118761","Verify transaction value changes when selecting options in all filter dropdowns","src.tests","Mon Jul 28 11:31:41 IST 2025","passed","Mon Jul 28 11:33:40 IST 2025","TestDashBoard","test_02_dashboard","",""
"","19199","test_toggle_buttons_expand_and_collapse[email]","src.tests","Mon Jul 28 11:38:09 IST 2025","skipped","Mon Jul 28 11:38:28 IST 2025","TestCredentials","test_03_credentials","",""
"","10887","Login and logout","src.tests","Mon Jul 28 11:28:41 IST 2025","passed","Mon Jul 28 11:28:52 IST 2025","TestLogin","test_01_login","",""
"","10006","Verify top horizontal modules as per client config","src.tests","Mon Jul 28 11:29:57 IST 2025","passed","Mon Jul 28 11:30:07 IST 2025","TestDashBoard","test_02_dashboard","",""
"","22010","verifying the GST table heading label name","src.tests","Mon Jul 28 11:35:57 IST 2025","passed","Mon Jul 28 11:36:19 IST 2025","TestCredentials","test_03_credentials","",""
"","14215","test_toggle_buttons_expand_and_collapse[gst]","src.tests","Mon Jul 28 11:37:28 IST 2025","passed","Mon Jul 28 11:37:43 IST 2025","TestCredentials","test_03_credentials","",""
"","13892","test_table_header_drag_and_drop[gst]","src.tests","Mon Jul 28 11:39:43 IST 2025","passed","Mon Jul 28 11:39:57 IST 2025","TestCredentials","test_03_credentials","",""
"","14861","verifying the airline table heading label name","src.tests","Mon Jul 28 11:36:24 IST 2025","passed","Mon Jul 28 11:36:39 IST 2025","TestCredentials","test_03_credentials","",""
"","14688","Login with invalid credentials","src.tests","Mon Jul 28 11:28:57 IST 2025","passed","Mon Jul 28 11:29:12 IST 2025","TestDashBoard","test_02_dashboard","",""
"","18523","test_column_toggle_checkbox_reflects_in_table_headings[email]","src.tests","Mon Jul 28 11:39:20 IST 2025","skipped","Mon Jul 28 11:39:38 IST 2025","TestCredentials","test_03_credentials","",""
"","12686","verifying the no of the cards","src.tests","Mon Jul 28 11:35:21 IST 2025","passed","Mon Jul 28 11:35:33 IST 2025","TestCredentials","test_03_credentials","",""
"","10074","Login with valid credentials","src.tests","Mon Jul 28 11:28:15 IST 2025","passed","Mon Jul 28 11:28:25 IST 2025","TestLogin","test_01_login","",""
"","15259","Click each top module and verify it loads correct view title","src.tests","Mon Jul 28 11:30:12 IST 2025","passed","Mon Jul 28 11:30:27 IST 2025","TestDashBoard","test_02_dashboard","",""
"","64148","Verify all custom dropdowns under filters have values","src.tests","Mon Jul 28 11:30:32 IST 2025","passed","Mon Jul 28 11:31:36 IST 2025","TestDashBoard","test_02_dashboard","",""
